replicate,treatment,day,time,location,focal_individual,behaviour,social_partner,partner_response,notes
2,high,1,1:37 PM,Outside,.4,Mount,9.,N/A,
2,high,1,1:38 PM,Feeder,3.,Attempt feeding,,,
2,high,1,1:42 PM,Feeder,4.,Attempt feeding,,,
2,high,1,1:44 PM,Feeder,.4,Feeding,,,
2,high,1,1:44 PM,Feeder,0.,Feeding,,,
2,high,1,1:46 PM,Feeder,1:,Feeding,,,
2,high,1,1:46 PM,1,.5,Mount,6.,,
2,high,1,1:49 PM,Feeder,0:,Feeding,,,
2,high,1,1:50 PM,1,.5,Mount,.0,Left shelter,
2,high,1,2:00 PM,Feeder,2.,Feeding,,,
2,high,1,2:04 PM,1,0:,Enter 1,,,
2,high,1,2:09 PM,Outside 2,.6,Mount,9.,,
2,high,1,2:09 PM,Outside 2,.2,Mount,.6 and 9.,.6 ran away,
2,high,1,2:11 PM,Feeder,3.,Feeding,,,
2,high,1,2:13 PM,Outside,.1,Mating,0.,N/A,
2,high,1,2:17 PM,Feeder,.1,Attempt feeding,,,
2,high,1,2:20 PM,Outside,.0,Mount,0.,Ran away,
2,high,1,2:24 PM,Feeder,1.,Feeding,,,
2,high,1,2:25 PM,Feeder,9.,Feeding,,,
2,high,1,2:26 PM,Feeder,.8,Attempt feeding,,,"Ran away, not sure why"
2,high,1,2:27 PM,Feeder,.8,Feeding,,,
2,high,1,2:34 PM,Outside,.1,Mount,3.,Ran away,
2,high,1,2:36 PM,Outside,.1,Mount,4.,,
2,high,1,2:38 PM,2,.0,Mount,0.,,
2,high,1,2:46 PM,Outside 1,.7,Mount,5.,,
2,high,1,3:13 PM,2,.4,Mount,0:,,
2,high,1,3:13 PM,1,.7,Mount,9.,,
2,high,1,3:15 PM,Outside 1,.7,Mount,1.,Ran away,
2,high,1,3:18 PM,2,6.,Exit,,,
2,high,1,3:20 PM,1,.7,Enter 1,,,
2,high,1,3:31 PM,2,0:,Exit,,,
2,high,1,3:35 PM,Outside,.5,Mating,3.,N/A,
2,high,1,4:05 PM,Outside,.7,Mount,0:,,
2,high,1,4:11 PM,Outside,.6,Mount,6.,,
2,high,1,4:12 PM,Outside,.6,Mount,9.,,
2,high,1,4:20 PM,Outside,.6,Mount,2.,,
2,high,1,4:21 PM,Outside,.6,Mount,:1,,
2,high,1,4:21 PM,Outside,.7,Mount,2.,,
2,high,1,4:22 PM,Outside,.6,Mount,2.,Ran away,
2,high,1,4:22 PM,Outside,.7,Mount,1:,N/A,Was already against wall tightly
2,high,1,4:25 PM,Outside,.6,Mount,2.,,
2,high,1,4:26 PM,Outside,.6,Mount,0.,,
2,high,1,4:28 PM,Outside,.6,Mount,.7,,
2,high,1,4:30 PM,Outside,.6,Mount,4.,,Got off quickly
2,high,1,4:34 PM,Outside,.4,Mount,0.,,
2,high,1,4:38 PM,Outside,.6,Mount,9.,Ran away,
2,high,1,4:41 PM,Outside,.6,Mount,.3,,
2,high,2,10:23 AM,2,.3 ,move in shelter,"aggregate - 1:,.6, .4, 9., 2., 6.,.9",na,moved away from aggregate - now alone
2,high,2,10:23 AM,2,.5,move in shelter,"aggregate - 1:,.6, .4, 9., 2., 6.,.9",NA,moved away from aggregate - now alone
2,high,2,10:33 AM,2,.6,move in shelter,"aggregate - 1:, .4, 9., 2., 6.,.9",NA,moved away from aggregate - now alone
2,high,2,10:36 AM,2,.4,move in shelter,"aggregate - 1.,, 9., 2., 6.,.9",NA,moved away from aggregate - now alone
2,high,2,10:39 AM,1,.2,move in shelter,"aggregate 1.,.0,0:,.8,8.",NA,moved away from aggregate - now alone
2,high,2,10:41 AM,1,8.,move in shelter,"aggregate 1.,.0,0:,.8",NA,moved away from aggregate - now  touching .1
2,high,2,10:42 AM,2,.5,exit,na,,
2,high,2,10:43 AM,2,.6,move in shelter,.4,na,now in contact 
2,high,2,10:44 AM,2,.3,move in shelter,".4,.6",na,now in contact 
2,high,2,10:46 AM,2,.3,move in shelter,".4,.6",na,
2,high,2,10:46 AM,2,.5,enter,na,,
2,high,2,10:50 AM,1,.8,mount,8.,run away ,
2,high,2,10:52 AM,1,.1,exit ,na,,
2,high,2,10:53 AM,1,.2,exit,na,,
2,high,2,10:54 AM,2,.5,exit ,na,,
2,high,2,11:02 AM,outside,",1",mount,.5,,
2,high,2,11:05 AM,1,.5,enter ,,,
2,high,2,11:17 AM,2,.4,move in shelter,"aggregate - 1:,.6, .4, 9., 2., 6.,.9",na,.4 now rejoined aggregate 
2,high,2,11:27 AM,2,.7,mating ,6.,na,
2,high,2,11:37 AM,1,.1,enter,.2,na,
2,high,2,11:38 AM,1,.2,enter,.1,na,
2,high,2,11:40 AM,1,.5,mount,5.,na,
2,high,2,12:07 PM,1,8.,enter,na,,
2,high,2,12:10 PM,1,.2 ,exit ,na,,
2,high,2,12:10 PM,1,.2 ,enter ,,,
2,high,2,12:13 PM,1,8.,exit ,,,
2,high,2,12:31 PM,1,.1,mount,.2 ,run away ,
2,high,2,12:34 PM,1,3.,move in shelter,.8,na,now in contact 
2,high,2,12:42 PM,1,8.,enter ,,,
2,high,2,12:44 PM,1,.1,mount,.0,na ,
2,high,2,1:10 PM,Outside 1,.2,mating ,8.,,
2,high,2,1:11 PM,1,.5,exit,,,
2,high,2,1:11 PM,Outside 1,.5,mount,.2 and 8.,stopped mating,mounted .2 who was on 8. which seemed to cause the mating to end
2,high,2,1:12 PM,1,.5,enter 1,.2 and .1,N/A,
2,high,2,1:14 PM,1,.0,mount,.5,N/A,.5 and .0 no longer with who they were with before
2,high,2,1:15 PM,1,.2,exit 1,,,
2,high,2,1:16 PM,1,.2,enter 1,,,joined big group
2,high,2,1:17 PM,2,.9,mount,.4,,
2,high,2,1:17 PM,2,.4,mount,.9,,
2,high,2,1:18 PM,2,.6,mount,.4,,
2,high,2,1:18 PM,2,4.,exit 2,,,was touched by all the males mounting each other and left
2,high,2,1:19 PM,2,.3,mount,.4,,
2,high,2,1:19 PM,2,.6,mount,.7,,
2,high,2,1:19 PM,2,.3,mount,.6,,
2,high,2,1:24 PM,2,.4,mount,.3,,
2,high,2,1:24 PM,2,.6,mount,.4,,
2,high,2,1:31 PM,2,4.,move in shelter,.9,,
2,high,2,1:31 PM,1,.5,exit,,,
2,high,2,1:38 PM,2,.4,exit,,,
2,high,2,1:38 PM,outside 2,.4,mount,8.,was against shelter wall so .4 couldn't get under,
2,high,2,1:39 PM,outside 2,.9,mount,.4 and 8.,8. ran away and into shelter 2,
2,high,2,1:44 PM,2,.3,mount,8.,ran away and squished herself under shelter,
2,high,2,1:48 PM,1,.5,exit,,,
2,high,2,1:48 PM,2,.3,mount,8.,ran away and out of shelter,
2,high,2,1:48 PM,2,.3,exit,,,
2,high,2,1:49 PM,2,.9,exit,.3,,was pushed by .3 as .3 was chasing 8.
2,high,2,2:07 PM,2,.5,enter,,,
2,high,2,2:18 PM,2,.5,enter,,,
2,high,2,2:18 PM,2,.7,mount,.5,,
2,high,2,2:18 PM,2,.5,mount,4.,,was already pressed against wall but curved body more against wall
2,high,2,2:22 PM,1,.8,exit,,,
2,high,2,2:22 PM,outside 2,.4,mount,8.,,
2,high,2,2:25 PM,2,.3,mount,1:,"ran away, vigorously shook .3 off",no longer in aggregation
2,high,2,2:27 PM,2,4.,exit,,,
2,high,2,2:27 PM,1,4.,enter,,,
2,high,2,2:28 PM,1,:1,mount,4.,ran away and out of shelter,
2,high,2,2:28 PM,1,:0,mount,.2,,
2,high,2,2:28 PM,1,:1,mount,.2,,
2,high,2,2:28 PM,1,.1,mount,:1,,
2,high,2,2:29 PM,2,.5,exit,,,
2,high,2,2:31 PM,1,.0,mount,.1,,
2,high,2,2:32 PM,Outside,.4,mount,8.,ran away,
2,high,2,2:35 PM,1,.2,exit 1,,,
2,high,2,2:36 PM,Outside,.5,mount,.8,,
2,high,2,2:40 PM,Outside,.4,mount,4.,,
2,high,2,2:41 PM,Outside,.4,mount,8.,ran against arena wall,
2,high,2,2:43 PM,Outside,.1,mating ,4.,,
2,high,2,2:44 PM,Outside,.4,mount,8.,pinned tightly against wall,very long mating attempt but .4 could get under 8.
2,high,2,2:46 PM,1,.1,exit,,,
2,high,2,2:47 PM,Outside,.4,mount,.8,,got off quickly
2,high,2,2:48 PM,Outside 2,.9,mount,8.,ran away,
2,high,2,3:11 PM,Outside,.1,mount,4.,ran away,
2,high,2,3:13 PM,1,1:,move in shelter,na,,no longer in aggregation
2,high,2,3:15 PM,Outside,.4,mount,.5,,
2,high,2,3:16 PM,Outside,.4,mount,.8,ran away,
2,high,2,3:18 PM,Outside,.4,mount,8.,curled body then ran away,
2,high,2,3:27 PM,Outside,.1,mount,8.,curled body then ran away,
2,high,2,3:28 PM,Outside,.8,mount,.5,,
2,high,2,3:30 PM,Outside,.4,mount,4.,walked away after,
2,high,2,3:39 PM,Outside,.1,mount,4.,ran away,
2,high,2,3:39 PM,Outside,.4,mount,4.,pressed against wall,
2,high,2,3:40 PM,1,1:,exit,,,
2,high,2,3:40 PM,1,.0,exit,,,
2,high,2,3:42 PM,1,.8,enter,,,
2,high,2,3:42 PM,1,1:,enter,.8,,
2,high,2,3:43 PM,1,.0,enter,,,
2,high,2,3:44 PM,Outside,.1,mount,4.,curled body then ran away,
2,high,2,3:46 PM,Outside 1,.0,mount ,.2,ran away,
2,high,2,4:09 PM,outside,.5,mating ,8.,,
2,high,2,4:11 PM,Outside,.4,mount,4.,curled body then ran away,
2,high,2,4:12 PM,2,.7,enter,,,
2,high,2,4:15 PM,2,.3,mount,.7,,
2,high,2,4:17 PM,2,.7,exit,,,
2,high,2,4:25 PM,Outside,.4,mount,4.,curled body,
2,high,2,4:27 PM,1,.5,mating ,7.,,
2,high,2,4:27 PM,1,.0,mount,.5 and 7.,,
2,high,2,4:32 PM,2,.6,mount,.3,,
2,high,2,4:35 PM,1,4.,enter 1,,,
2,high,2,4:39 PM,2,.6,mount,.1,,
2,high,2,4:42 PM,1,.7,mount,4.,ran away and left shelter,
2,high,2,4:48 PM,1,.7,mount,.8,ran away,
2,high,3,9:38 AM,2,.2,move within shelter,"0:,.9,4.,9.,6.,.1, - agregate",NA,moved away from aggregate - now alone
2,high,3,9:42 AM,2,.9,move within shelter,"0:,,4.,9.,6.,.1, - agregate",na,moved away from aggregate - now alone
2,high,3,9:44 AM,2,.2,move within shelter,.9,na,now in contact 
2,high,3,10:08 AM,2,.9,mount,.2,run away,
2,high,3,10:12 AM,2,.9,move within shelter,.2 ,na,now in contact 
2,high,3,10:24 AM,2,.2 ,move within shelter,.1,na,now in contact 
2,high,3,10:32 AM,2,.9 ,mount,.2 ,run away,
2,high,3,10:33 AM,2,.4,mount,.2,run away,
2,high,3,10:43 AM,2,.3,move within shelter,.2,na,now in contact 
2,high,3,11:06 AM,2,.4,move within shelter,".2,.3",na,now in contact 
2,high,3,12:03 PM,2,.9,enter,.1,na,now in contact 
2,high,3,12:22 PM,2,0:,move within shelter,"4.,6.,9.",na,moved away from aggregate - now alone
2,high,3,12:24 PM,2,.1,mating,0:,na,
2,high,3,12:27 PM,2,.9,exit ,.1,na,no longer in contact with .1
2,high,3,12:28 PM,2,0:,move within shelter,.1,na,"moved away from .1 -- rejoined 4.,6,9. agregate "
2,high,3,12:31 PM,2,0:,move within shelter,0:,na,moved away  from aggregate  - now alone 
2,high,3,12:32 PM,2,.4,move within shelter,.1,na,now in contact 
2,high,3,12:33 PM,2,.2,exit ,na,,
2,high,3,12:33 PM,2,0:,exit ,na,,
2,high,3,12:34 PM,2,0:,enter ,na ,,
2,high,3,12:36 PM,2,.9 ,enter ,,,
2,high,3,12:38 PM,2,.4,mount,0:,na,
2,high,3,12:39 PM,2,.9 ,move within shelter,".4,.3, .1,0:",na,these 5 now in contact 
2,high,3,12:42 PM,2,.6,move within shelter,"4.,6.,9.",na,.6 moved away from .7 to join these 3 
2,high,3,1:06 PM,1,3.,exit ,,,
2,high,3,1:06 PM,1,8.,exit ,,,
2,high,3,1:06 PM,1,.5,exit ,,,
2,high,3,1:08 PM,Feeder,.2,feeding,,,
2,high,3,1:11 PM,2,.2,enter,,,
2,high,3,1:12 PM,2,.1,mount,.2,shaking,
2,high,3,1:12 PM,2,2.,exit 2,,,
2,high,3,1:13 PM,2,2.,feeding,,,
2,high,3,1:14 PM,1,:1,mating,0:,na,
2,high,3,1:16 PM,1,.0,exit,,,
2,high,3,1:19 PM,1,:1,mount,.0,,
2,high,3,1:19 PM,1,.8,mount,.0,,
2,high,3,1:22 PM,2,.6,exit 2,,,
2,high,3,1:23 PM,1,1:,exit 1,,,
2,high,3,1:23 PM,1,.8,mount,:0,,
2,high,3,1:23 PM,1,.0,mount,.8,,
2,high,3,1:23 PM,2,.9,exit 2,,,
2,high,3,1:24 PM,Feeder,1:,attempt feeding,,,
2,high,3,1:27 PM,Feeder,1:,feeding,,,
2,high,3,1:29 PM,1,.0,mount,.8,,
2,high,3,1:29 PM,2,.2,mount,4.,ran away,
2,high,3,1:30 PM,2,.3,mount,.6,,
2,high,3,1:31 PM,2,.7,exit,,,
2,high,3,1:31 PM,outside,.7,mount,1:,,looked like it was going to be mating
2,high,3,1:32 PM,2,.3,mount,.7 and 1:,".7 pushed off, 1: tried to run",
2,high,3,1:32 PM,2,.6,mount,.3 and 1:,,
2,high,3,1:33 PM,2,.4,mount,1: and .3 and .6,".3 and .6 pushed off, :1 pushed against wall",
2,high,3,1:34 PM,outside,.9,mating,4.,NA,
2,high,3,1:34 PM,outside 2,.4,mating,1:,,
2,high,3,1:35 PM,outside 2,.7,mount ,1: and .4,NA,on top of 1: but not in mating position because .4 is there
2,high,3,1:35 PM,Feeder,.5,attempt feeding,,,
2,high,3,1:38 PM,1,.0,mount,.8,shook a bit,
2,high,3,1:41 PM,outside,.5,mount,4.,walked away,
2,high,3,1:48 PM,outside 2,.6,mating,8.,walking around,
2,high,3,1:56 PM,outside,.1,mating,1.,walking around,
2,high,3,2:01 PM,outside,.7,mating,4.,,
2,high,3,2:09 PM,2,.5,enter 2,,,
2,high,3,2:10 PM,Feeder,.1,attempt feeding,,,
2,high,3,2:16 PM,2,.7,enter 2,,,
2,high,3,2:20 PM,Feeder,3.,feeding,,,
2,high,3,2:34 PM,outside,.5,mount,1.,shook body and ran around,prolonged mount
2,high,3,2:46 PM,Feeder,.5,feeding,,,
2,high,3,2:46 PM,Feeder,8.,feeding,,,
2,high,3,2:48 PM,outside,.6,mount,.5,NA,
2,high,3,2:49 PM,Feeder,4.,feeding,,,
2,high,3,3:09 PM,1,:0,moung,1:,running around shelter,
2,high,3,3:09 PM,1,.8,mating,0:,NA,
2,high,3,3:15 PM,1,.9,exit 1,,,
2,high,3,3:16 PM,outside 2,.3,mating,2.,,
2,high,3,3:17 PM,2,2.,enter,,,
2,high,3,3:17 PM,Feeder,.0,feeding,,,
2,high,3,3:17 PM,2,1.,enter,,,
2,high,3,3:20 PM,outside,.9,mount,4.,ran away,
2,high,3,3:23 PM,1,.6,exit,,,
2,high,3,3:31 PM,1,.6,enter,,,
2,high,3,3:32 PM,1,.9,enter,,,
2,high,3,3:34 PM,1,.8,mating,0:,walking around,
2,high,3,3:37 PM,1,.4,enter,,,
2,high,3,3:39 PM,1,.0,mount,.6,,
2,high,3,3:40 PM,1,2.,exit 1,,,
2,high,3,3:43 PM,1,.0,exit,,,
2,high,3,3:44 PM,2,.3,mount,9.,,
2,high,3,4:00 PM,1,.8,mount,.0,,
2,high,3,4:13 PM,2,.7,enter,,,
2,high,3,4:17 PM,outside,.9,mount,8.,ran away,
2,high,3,4:19 PM,outside,.7,mount,0:,ran away,
2,high,3,4:20 PM,1,.8,mount,:0,walked away,
2,high,3,4:23 PM,1,8.,enter,,,
2,high,3,4:25 PM,1,.7,enter 1,,,
2,high,3,4:26 PM,1,:1,mount,8.,ran away,
2,high,3,4:29 PM,1,.8,mount,8.,ran away,
2,high,3,4:30 PM,1,.8,mating,8.,ran around and out of shelter,
2,high,3,4:34 PM,2.,2,enter ,,,
2,high,3,4:40 PM,2,0:,enter,,,
2,high,3,4:40 PM,2,.5,mating,0:,walked around,
2,high,3,4:43 PM,2,2.,exit 2,,,
2,high,3,4:44 PM,1,7.,exit 1,,,
2,high,3,4:46 PM,2,.5,mount,1.,ran away ,
2,high,4,9:15 AM,2,6.,shaking,N/A,,
2,high,4,9:20 AM,2,6.,shaking,N/A,,
2,high,4,9:22 AM,2,3.,moved within shelter,.7,N/A,
2,high,4,9:22 AM,2,3.,moved within shelter,6.,6. moved away,
2,high,4,9:25 AM,1,1.,moved within shelter,7.,7. ran away,1. moved towards 7. again and 7. ran again
2,high,4,9:27 AM,1,.9,moved within shelter,7.,7. ran away,".9 ran out of group to 7. and 1., both ran away"
2,high,4,9:31 AM,1,.9,mating attempt,1.,N/A,".9 mounted but could not get in position, 1. was pressed against wall"
2,high,4,9:33 AM,1,1.,shaking,N/A,,1. ran over .9
2,high,4,9:35 AM,2,.7,mating attempt,6.,6. walked around with .7 on top,
2,high,4,9:36 AM,2,3.,shaking,N/A,,
2,high,4,9:37 AM,2,6.,shaking,N/A,,
2,high,4,9:38 AM,1,7.,exit shelter,N/A,,"1. ran at 7., 7. ran out of shelter"
2,high,4,9:39 AM,1,1.,exit shelter,N/A,,
2,high,4,9:45 AM,1,.0,moved within shelter,:1 and .9,".0 moved and .9 then :1 jumped on .0, .0 moved in response",".0 pooped before moving, bugs behind moved"
2,high,4,10:06 AM,1,.8,moved within shelter,8.,N/A,
2,high,4,10:09 AM,2,7.,entered,N/A,,
2,high,4,10:09 AM,2,3.,moved within shelter,0:,N/A,
2,high,4,10:09 AM,2,.5,mating attempt,0:,ran away,
2,high,4,10:10 AM,2,0:,shaking,N/A,,
2,high,4,10:15 AM,2,.5,mating attempt,.7,N/A,
2,high,4,10:18 AM,2,.5,mating attempt,3.,tried to run away,
2,high,4,10:20 AM,2,3.,exit shelter,N/A,,
2,high,4,10:22 AM,1,.8,mating attempt,3.,3. exited with .8 on back,
2,high,4,10:22 AM,outside,1.,bump,6.,6. ran away,
2,high,4,10:23 AM,outside,.8,mating attempt,3.,3. ran onto side of shelter,
2,high,4,10:28 AM,1,7.,entered,N/A,,
2,high,4,10:28 AM,1,.0,moved within shelter,.3,N/A,
2,high,4,10:30 AM,2,.7,exit shelter,N/A,,
2,high,4,10:33 AM,outsider,7.,bump,.9,both jerked away,
2,high,4,10:35 AM,1,.2,moved within shelter,.0,.2 moved to be alone after touching,
2,high,4,10:36 AM,1,.0,moved within shelter,.2,N/A,
2,high,4,10:36 AM,2,0.,shaking,N/A,,
2,high,4,10:37 AM,2,0:,exit shelter,N/A,,
2,high,4,10:38 AM,1,.4,Mount,.6,N/A,
2,high,4,10:39 AM,1,.6,moved within shelter,unknown,,"moved on top of unknown bug, likely :0"
2,high,4,10:41 AM,outside,.8,mount,6.,N/A,
2,high,4,10:42 AM,2,.5,moved within shelter,0:,0: moved into enterance,
2,high,4,10:46 AM,2,0:,moved within shelter,N/A,,0: moved to be alone
2,high,4,10:46 AM,outsider,.8,mating,6.,N/A then walked,"6. moved o enterance of 2, .5 jumped on"
2,high,4,10:49 AM,2,1: ,shaking,N/A,,
2,high,4,11:05 AM,1,3.,shaking,N/A,,
2,high,4,11:06 AM,1,:1,mout,.6,N/A,
2,high,4,11:07 AM,2,0:,shaking,N/A,,
2,high,4,11:08 AM,1,.0,Mount,.6,ran away,
2,high,4,11:09 AM,1,:0,moved within shelter,.0,N/A,:0 jumped on .0 then walked away
2,high,4,11:10 AM,1,.0,moved within shelter,5.,N/A,
2,high,4,11:10 AM,1,.6,moved within shelter,6.,N/A,.6 jumped on 6.
2,high,4,11:11 AM,1,3.,shaking,N/A,,
2,high,4,11:13 AM,1,3.,moved within shelter,9. .2 :0,N/A,3. moved to be alone after touching all
2,high,4,11:14 AM,1,:0,exit shelter,N/A,,
2,high,4,11:19 AM,1,9.,shaking,N/A,,
2,high,4,11:20 AM,1,.0,moved within shelter,.6,,
2,high,4,11:20 AM,2,.8,mating attempt,0:,0: moved around shelter,
2,high,4,11:22 AM,1,9.,shaking,N/A,,
2,high,4,11:23 AM,2,.8,mating attempt,0:,N/A,
2,high,4,11:24 AM,1,3.,shaking,N/A,,
2,high,4,11:24 AM,1,:0,exit shelter,N/A,,
2,high,4,11:25 AM,1,.6,moved within shelter,9. .2,N/A,.6 moved to be alone
2,high,4,11:26 AM,2,0.,exit shelter,N/A,,
2,high,4,11:27 AM,2,.5,exit shelter,0:,N/A,.5 ran ontp 0:
2,high,4,11:28 AM,outside 2,.9,bump,.5 and 0:,0: moved into shelter (.5 carried on top),
2,high,4,11:31 AM,outside,.6,bump,7.,N/A,
2,high,4,11:34 AM,1,9.,entered,N/A,,
2,high,4,11:34 AM,1,:0,moved within shelter,9.,9. climbed onto wall,:0 had moved away from .6 to be alone before 9. entered
2,high,4,11:37 AM,1,3.,moved within shelter,.4,N/A,
2,high,4,11:39 AM,1,.2,moved within shelter,:1,N/A,
2,high,4,11:42 AM,outside,.1,bump,.7,ran away,
2,high,4,11:43 AM,outside,.7,mount,7.,7. ran away,
2,high,4,12:06 PM,1,9.,moved within shelter,N/A,,moved to be alone
2,high,4,12:07 PM,1,9.,shaking,N/A,,
2,high,4,12:08 PM,1,.6,moved within shelter,.3,N/A,".6 moved to be alone, then moved to .3, then to be alone again"
2,high,4,12:11 PM,1,.6,exit shelter,N/A,,
2,high,4,12:13 PM,outside,.9,mount,6.,shaking,"6. was on their back, .9 flipped to be on their back at the end"
2,high,4,12:15 PM,outsidw,.6,other,9.,ran away,".6 chased 9. until they ran into 0:, 0: chased .6"
2,high,4,12:18 PM,1,.2,entered,N/A,,moved away from .6 in the process
2,high,4,12:20 PM,1,.6,entered,N/A,,
2,high,4,12:20 PM,1,.6,moved within shelter,:1,n/A,
2,high,4,12:23 PM,outside,7.,bump,1.,1. moved away,
2,high,4,12:24 PM,outside,.1,mount,6.,N/A,.9 also mounted .1
2,high,4,12:27 PM,outside 1,.6,mating attempt,1.,1. walked with .6 on back,
2,high,4,12:28 PM,outsider,7.,bump,.1,N/A,7. ran over .1
2,high,4,12:29 PM,outsider,7.,bump,1.,"1. ran away, bumping into .1",
2,high,4,12:31 PM,outside,.9,mount,1.,1. ran away,
2,high,4,12:32 PM,outside,.1,mount,0:,N/A,.1 remained on 0:
2,high,4,12:34 PM,outsider,.6,mating attempt,7.,7. walked and pushed into wall,
2,high,4,12:37 PM,out,.6,mount,9.,9. ran away,
2,high,4,12:38 PM,out,.6,mount,7.,7. ran away,
2,high,4,12:39 PM,1,.4,exit shelter,N/A,,
2,high,4,12:39 PM,outside of 2,8.,mount,9.,8. stayed on 9.,
2,high,4,12:40 PM,1,.3,exit shelter,N/A,,stayed on top of .4 at opening of exit
2,high,4,12:43 PM,1,.3,entered,N/A,,
2,high,4,12:44 PM,1,8.,moved within shelter,.3,N/A,8. stacked then moved to be alone
2,high,4,12:44 PM,1,.4,entered,N/A,,
2,high,4,12:46 PM,out,0:,mount,.1,N/A,
2,high,4,12:47 PM,1,:0,moved within shelter,N/A,,moved to be alone
2,high,4,12:47 PM,2,6.,exit shelter,N/A,,
2,high,4,12:48 PM,1,.1,mount,:0,N/a,
2,high,4,1:02 PM,2,.6,enter 2,2. and .7,,
2,high,4,1:06 PM,1,.3,mount,9.,Na,
2,high,4,1:08 PM,1,1.,exit 1,,,
2,high,4,1:08 PM,1,9.,exit 1,,,
2,high,4,1:10 PM,2,.8,mount,.7,,
2,high,4,1:10 PM,2,.7,exit,,,
2,high,4,1:13 PM,1,.2,mount,:0,,
2,high,4,1:17 PM,2,.8,mount,9.,ran away,9. was going to enter 2 but then ran away
2,high,4,1:19 PM,1,7.,enter 1,,,
2,high,4,1:20 PM,1,1:,shaking,,,
2,high,4,1:22 PM,outside,.1,mount,.9,,
2,high,4,1:25 PM,2,8.,enter,,,
2,high,4,1:26 PM,2,.7,mount,.8,,
2,high,4,1:28 PM,1,9.,exit,,,
2,high,4,1:29 PM,1,7.,shaking,,,
2,high,4,1:31 PM,1,9.,enter,,,
2,high,4,1:33 PM,outside,.1,mount,0:,walked away,prolonged mount
2,high,4,1:36 PM,outside,.7,mount,1.,walked away,prolonged mount (10-15 seconds)
2,high,4,1:40 PM,2,8.,exit 2,,,
2,high,4,1:45 PM,outside,.8,mount,9.,pressed against arena wall,
2,high,4,1:46 PM,1,8.,enter 1,,,
2,high,4,1:46 PM,1,.4,mount,8.,ran away ,
2,high,4,2:09 PM,2,.6,moved within shelter,.5 and 6.,na,
2,high,4,2:12 PM,outside,.1,mount,7.,walked around,prolonged mount (10-15 seconds)
2,high,4,2:15 PM,2,6.,shaking,,,
2,high,4,2:18 PM,2,0:,enter,.6 and .5,,
2,high,4,2:21 PM,2,0:,shaking,.5 and .5,moved away,
2,high,4,2:22 PM,2,.7,mount,1.,na,prolonged mount (10-15 seconds)
2,high,4,2:23 PM,2,.6,exit 2,,,
2,high,4,2:23 PM,outside,.6,mount,7.,walked away,
2,high,4,2:24 PM,2,0:,shaking,NA,,
2,high,4,2:26 PM,1,5.,enter 1,,,
2,high,4,2:33 PM,2,0:,shaking,,,
2,high,4,2:35 PM,outside,.6,mount,0.,ran away,
2,high,4,2:37 PM,outside,.6,mount,7.,ran away,
2,high,4,2:38 PM,outside,.1,mount,7.,ran away,
2,high,4,2:38 PM,2,2.,shaking,,,
2,high,4,2:42 PM,outside,.6,mating,8.,stayed still then walked away after,
2,high,4,2:45 PM,2,3.,exit,,,
2,high,4,2:45 PM,2,3.,enter,,,
2,high,4,2:47 PM,2,4.,shaking,,,
2,high,4,2:48 PM,outside 1,.0,mount,7.,ran away,
2,high,4,3:01 PM,2,4.,shaking,,,
2,high,4,3:02 PM,2,4.,exit,,,
2,high,4,3:02 PM,1,8.,enter,,,
2,high,4,3:04 PM,2,4.,enter,,,
2,high,4,3:05 PM,2,4.,exit,,,
2,high,4,3:06 PM,2,.1,enter,,,
2,high,4,3:11 PM,2,4.,enter,,,
2,high,4,3:15 PM,1,.0,mating,1:,na,
2,high,4,3:16 PM,1,5.,enter,,,
2,high,4,3:17 PM,2,4.,enter,6.,,
2,high,4,3:20 PM,1,2.,exit,,,
2,high,4,3:21 PM,2,2.,enter,3. and 0:,na,
2,high,4,3:22 PM,1,5.,shaking,,,
2,high,4,3:24 PM,outside,.6,mount,.1,,
2,high,4,3:27 PM,1,.9,enter,,,
2,high,4,3:27 PM,2,2.,exit,,,
2,high,4,3:27 PM,2,8.,exit,,,
2,high,4,3:27 PM,outside,.1,mount,7.,na,
2,high,4,3:28 PM,2,2.,enter,,,
2,high,4,3:29 PM,1,.9,exit,,,
2,high,4,3:29 PM,2,.1,enter,,,
2,high,4,3:29 PM,1,.9,enter,,,
2,high,4,3:30 PM,2,2.,exit,,,
2,high,4,3:34 PM,1,.6,enter,,,
2,high,4,3:38 PM,1,7.,enter,,,
2,high,4,3:38 PM,1,2.,enter,,,
2,high,4,3:40 PM,2,.8,enter,,,
2,high,4,3:42 PM,1,:0,exit,,,
2,high,4,3:43 PM,1,5.,exit,,,
2,high,4,3:44 PM,1,5.,enter,0.,,
2,high,4,3:44 PM,2,.8,exit,,,
2,high,4,3:45 PM,1,.3,enter,,,
2,high,4,3:46 PM,outside,:0,mount,9.,pushed against the arena wall,
2,high,4,3:46 PM,1,0.,enter,,,
2,high,4,3:47 PM,2,:0,enter,,,
2,high,4,4:18 PM,1,.3,mount,9.,ran away,was going to enter 1
2,high,4,4:22 PM,1,.3,exit,,,
2,high,4,4:23 PM,2,.3,enter,:0,,
2,high,4,4:28 PM,outside,:0,mount,5.,ran away,
2,high,4,4:29 PM,2,8.,enter 2,1.,,
2,high,5,9:01 AM,2,6.,moved within shelter,4.,N/A,touched 7. and 4. multiple times before
2,high,5,9:07 AM,2,6.,shaking,N/A,,
